Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0.11251500000003727,1000,,,,0.0013671875,0.0470703125,-0.9931640625,-0.00529790372307177,0.004108196223806551,16.06611313026569,-0.0018848445550506466,0,0,0.029272092615629082,0,0,0,0,0.12421875,,
0.11335500000001049,1000,,,,0,0.0466796875,-0.99453125,-0.005427613726079123,0.004090308539600892,16.065653669091354,-0.0023924804710277582,0,0,0.03843677939290832,0,0,0,0,0.103125,,
0.3637165000000037,1000,,,,0,0.046875,-0.9943359375,-0.005520240750044486,0.003956011842610919,16.065430652666954,-0.0023165294571217297,0,0,0.03721605302036248,0,0,0,0,0.0888671875,,
0.6131350000000151,1000,,,,0,0.0466796875,-0.994140625,-0.005468511717752858,0.003792141783178897,16.065362393163458,-0.0009559239195027658,0,0,0.0142449780918225,0,0,0,0,0.07890625,,
0.8701844999999914,1000,,,,0,0.0466796875,-0.994140625,-0.0054763941757593965,0.004071539615106742,16.065453610724923,-0.002215035719938907,0,0,0.035585560319470154,0,0,0,0,0.072265625,,
1.1268005000000063,1000,,,,0,0.047265625,-0.99453125,-0.0054503657578069175,0.004302527110884756,16.064914192514056,-0.0020969040204085855,0,0,0.033804740154964846,0,0,0,0,0.067578125,,
1.388004500000004,1000,,,,0,0.046484375,-0.994140625,-0.005486324736642486,0.004767714488498365,16.06495234841764,-0.004434400361660673,0,0,0.07123860732542805,0,0,0,0,0.0642578125,,
1.6406144999999959,1000,,,,0,0.0462890625,-0.9927734375,-0.0054798897604669385,0.0045312519779059845,16.065238119592916,-0.003638432526817148,0,0,0.05845214754241682,0,0,0,0,0.0625,,
1.8885240000000163,1000,,,,0,0.0470703125,-0.99453125,-0.005446002093940654,0.0038340941453963565,16.06545906615975,-0.0031303318288700586,0,0,0.05029019474892793,0,0,0,0,0.0607421875,,
2.1384364999999987,1000,,,,0,0.0466796875,-0.9943359375,-0.005436131496734054,0.003989418570718854,16.065476297747963,-0.003534310172454358,0,0,0.05678038548382384,0,0,0,0,0.060546875,,
2.3890665000000038,1000,,,,0,0.046875,-0.9943359375,-0.005481929021048433,0.003803013306331861,16.065619601127096,-0.002254083310249566,0,0,0.03612135495179452,0,0,0,0,0.05859375,,
2.6379735000000104,1000,,,,0,0.0466796875,-0.9947265625,-0.005546753139379589,0.003856225570891005,16.065606507079174,-0.003990801158700252,0,0,0.06411460327761825,0,0,0,0,0.05859375,,
2.8878695000000123,1000,,,,0,0.046875,-0.994140625,-0.005454060594312763,0.003902934755672837,16.065214775008958,-0.0025626335377914255,0,0,0.041169329061291074,0,0,0,0,0.05859375,,
3.1391459999999958,1000,,,,0,0.045703125,-0.9939453125,-0.005441788215648802,0.003933242162134559,16.065378258276986,-0.0017008311173201118,0,0,0.027270770069990243,0,0,0,0,0.05859375,,
3.388445000000013,1000,,,,0,0.045703125,-0.9931640625,-0.005557992902388338,0.003999985870959679,16.0656230289216,-0.002465156487139497,0,0,0.03960429497791953,0,0,0,0,0.05859375,,
3.6383639999999957,1000,,,,0,0.0466796875,-0.9943359375,-0.005541789741584612,0.004031226471980997,16.065207324249783,-0.002956415793180689,0,0,0.04749559212599176,0,0,0,0,0.05859375,,
3.8885770000000073,1000,,,,0,0.04609375,-0.99453125,-0.0054316506027559785,0.004264936265629631,16.06545390400601,-0.0011436427707928853,0,0,0.020168905309893896,0,0,0,0,0.05859375,,
4.139052000000008,1000,,,,0,0.0470703125,-0.994140625,-0.0053968515184693484,0.004500163105320888,16.064794746141867,-0.0014774341922093813,0,0,0.02397480424598731,0,0,0,0,0.05859375,,
4.3931685,1000,,,,0,0.046484375,-0.994140625,-0.005522431886103759,0.0036194897139116807,16.06433355989101,-0.0021334720276210196,0,0,0.034272730135923926,0,0,0,0,0.05859375,,
4.637909000000002,1000,,,,0,0.046875,-0.993359375,-0.005654790484076194,0.003359441381829553,16.06468793409605,-0.0024348559068305244,0,0,0.039115189731082085,0,0,0,0,0.05859375,,
4.887657500000001,1000,,,,0,0.0470703125,-0.994921875,-0.005637833516179776,0.0035239210987850224,16.06488837861834,-0.002347240000527906,0,0,0.03770809036954774,0,0,0,0,0.05859375,,
5.13773550000001,1000,,,,0,0.0466796875,-0.99453125,-0.00544392804235291,0.0028689900055344103,16.06495026398306,-0.0013141579561010363,0,0,0.020384206997956584,0,0,0,0,0.05859375,,
5.388301000000007,1000,,,,0,0.046875,-0.99453125,-0.005353229295122381,0.0031361013136274483,16.064861352999127,-0.002494850794647263,0,0,0.04046433257041919,0,0,0,0,0.05859375,,
5.638244000000001,1000,,,,0,0.0462890625,-0.994921875,-0.005431287300575585,0.0038569570997320146,16.064875779964524,-0.0018698664957465193,0,0,0.02953858831672625,0,0,0,0,0.05859375,,
